year,filing_status,rate,lower_bound_exclusive,upper_bound_inclusive,standard_deduction,reviewed,official_source
2025,married_filing_separately,24%,103350,197300,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_separately,32%,197300,250525,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_separately,35%,250525,375800,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_separately,37%,375800,no_limit,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2026,single,10%,0,12400,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,single,12%,12400,50400,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,single,22%,50400,105700,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,single,24%,105700,201775,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,single,32%,201775,256225,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,single,35%,256225,640600,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,single,37%,640600,no_limit,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_jointly,10%,0,24800,32200,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_jointly,12%,24800,100800,32200,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_jointly,22%,100800,211400,32200,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_jointly,24%,211400,403550,32200,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_jointly,32%,403550,512450,32200,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_jointly,35%,512450,768700,32200,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_jointly,37%,768700,no_limit,32200,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,head_of_household,10%,0,17700,24150,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,head_of_household,12%,17700,67450,24150,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,head_of_household,22%,67450,105700,24150,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,head_of_household,24%,105700,201750,24150,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,head_of_household,32%,201750,256200,24150,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,head_of_household,35%,256200,640600,24150,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,head_of_household,37%,640600,no_limit,24150,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_separately,10%,0,12400,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_separately,12%,12400,50400,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_separately,22%,50400,105700,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_separately,24%,105700,201775,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_separately,32%,201775,256225,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_separately,35%,256225,384350,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
2026,married_filing_separately,37%,384350,no_limit,16100,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026-including-amendments-from-the-one-big-beautiful-bill
